emp_no,first_name,last_name,title,to_date,from_date,hire_date
10095,Hilari,Morton,Senior Staff,9999-01-01,2000-03-09,1986-07-15
10122,Ohad,Esposito,Technique Leader,9999-01-01,1998-08-06,1992-12-23
10291,Dipayan,Seghrouchni,Senior Staff,9999-01-01,1994-03-30,1986-09-29
10476,Kokou,Iisaka,Senior Staff,9999-01-01,1994-09-20,1987-09-20
10663,Teunis,Noriega,Technique Leader,9999-01-01,1993-01-23,1993-01-23
10762,Lech,Himler,Senior Staff,9999-01-01,1999-01-21,1992-01-21
10933,Juyoung,Seghrouchni,Senior Engineer,9999-01-01,1993-08-02,1993-08-02
12155,Keiichiro,Glinert,Senior Engineer,9999-01-01,2001-09-16,1993-09-16
12408,Rasiah,Sudkamp,Senior Engineer,9999-01-01,1995-04-18,1995-04-18
12643,Morrie,Schurmann,Staff,9999-01-01,1998-12-31,1998-07-23
13499,Kazuhiko,Sidou,Technique Leader,9999-01-01,1991-09-01,1985-11-25
14075,Denny,Tchuente,Engineer,9999-01-01,1998-05-30,1989-09-01
14104,Sudhanshu,Demian,Senior Staff,9999-01-01,1999-07-23,1986-01-02
14127,Magdalena,Cannard,Senior Engineer,9999-01-01,2002-04-22,1994-04-22
14158,Caolyn,Setiz,Senior Staff,9999-01-01,1996-02-06,1990-02-06
14476,Sastry,Marrevee,Engineer,9999-01-01,1999-09-25,1989-10-19
14907,Nakhoon,Luga,Senior Staff,9999-01-01,1994-12-18,1986-12-18
15050,Nikolaos,Kruskal,Senior Engineer,9999-01-01,1996-12-16,1990-12-17
15058,Bouchung,Bugrara,Senior Staff,9999-01-01,1998-06-18,1986-05-31
15413,Arvin,Rabejac,Senior Engineer,9999-01-01,2002-01-01,1993-09-22
16461,Remmert,Schahn,Senior Staff,9999-01-01,1994-09-06,1986-09-06
16528,Gaurav,Swick,Engineer,9999-01-01,2001-05-07,1992-04-07
17013,Morris,Garigliano,Senior Staff,9999-01-01,2000-05-23,1994-05-28
17206,Berry,DeMori,Senior Engineer,9999-01-01,1998-12-27,1986-02-25
17369,Yaghout,Kenevan,Senior Engineer,9999-01-01,1998-01-28,1991-02-09
17447,Zengping,Boreale,Staff,9999-01-01,1998-12-16,1990-11-10
17731,Gennady,Roison,Engineer,9999-01-01,1997-12-06,1989-12-06
17970,Filipp,Carrere,Technique Leader,9999-01-01,1989-01-09,1989-01-09
17988,Mabhin,Calkin,Senior Engineer,9999-01-01,1997-11-30,1989-11-30
18021,Adil,Matzke,Senior Engineer,9999-01-01,1995-05-08,1987-05-08
18424,Filipp,Rousseau,Senior Engineer,9999-01-01,2002-06-07,1987-09-21
18583,Stafford,Honglei,Staff,9999-01-01,1998-08-16,1990-12-18
18617,Surveyors,Crouzet,Senior Staff,9999-01-01,1998-04-24,1986-06-28
18810,Taiji,Jarecki,Senior Engineer,9999-01-01,1999-06-27,1987-04-13
19236,Elzbieta,Morris,Senior Engineer,9999-01-01,1993-07-12,1988-01-07
19350,Satoru,Yoshizawa,Senior Staff,9999-01-01,1999-03-27,1991-01-18
19803,Ziva,Kowalchuk,Senior Engineer,9999-01-01,1992-06-12,1987-06-13
20100,Utz,Heuter,Senior Staff,9999-01-01,1995-06-15,1986-06-15
20128,Kazunori,Peak,Senior Staff,9999-01-01,1999-08-13,1989-09-02
20129,Rafael,Skafidas,Senior Engineer,9999-01-01,2000-03-27,1989-01-25
20248,Vidar,Demri,Staff,9999-01-01,1999-12-31,1992-07-14
20313,Candida,Benveniste,Engineer,9999-01-01,1999-01-20,1992-07-02
20500,Christoph,Trystram,Senior Staff,9999-01-01,1998-10-15,1992-07-30
20885,Otmar,Rothenberg,Senior Engineer,9999-01-01,1996-03-14,1989-03-14
21181,Jianhui,Cangellaris,Engineer,9999-01-01,1999-10-06,1988-01-12
21188,Piyush,Danecki,Engineer,9999-01-01,2000-01-08,1998-04-02
21546,Yongmin,Lanteri,Senior Staff,9999-01-01,1988-02-16,1988-02-16
21843,Karsten,Azadmanesh,Senior Engineer,9999-01-01,1985-11-29,1985-11-29
21909,Mohammed,Brizzi,Senior Staff,9999-01-01,1998-12-28,1991-12-28
22185,Huai,Birch,Engineer,9999-01-01,2002-03-26,1990-11-27
22415,Perla,Jumpertz,Senior Staff,9999-01-01,1994-08-24,1985-03-29
22451,Jasminko,Bresenham,Senior Staff,9999-01-01,1996-12-15,1985-02-06
22455,Barry,Unno,Senior Staff,9999-01-01,1999-11-16,1987-05-16
22926,Manibrata,Genther,Senior Engineer,9999-01-01,1996-01-15,1987-05-19
23396,Hilari,Fairtlough,Technique Leader,9999-01-01,1986-12-15,1986-11-11
24080,Jaana,Perez,Technique Leader,9999-01-01,1996-03-11,1990-06-08
24205,Roddy,Rubsam,Senior Engineer,9999-01-01,1993-09-19,1987-09-06
24377,Lubomir,Wroclawski,Senior Engineer,9999-01-01,2000-07-25,1991-05-25
24394,Zhonghui,Conta,Staff,9999-01-01,1994-09-10,1986-02-01
24553,Anwar,Passafiume,Senior Staff,9999-01-01,1994-01-30,1987-01-30
24571,Cordelia,Gischer,Senior Engineer,9999-01-01,1995-03-14,1989-03-14
25488,Ingmar,Basawa,Senior Staff,9999-01-01,1997-11-08,1991-11-09
26629,Nevin,Rodham,Senior Staff,9999-01-01,1998-12-14,1993-09-20
26671,Jiakeng,Kalorkoti,Senior Engineer,9999-01-01,2001-12-25,1994-12-25
26788,Zongyan,Dalphin,Senior Engineer,9999-01-01,1993-04-23,1988-04-23
27331,Wanqing,Krohm,Senior Staff,9999-01-01,1999-01-22,1991-01-22
27378,Piyawadee,Leppanen,Senior Staff,9999-01-01,1999-02-25,1999-02-25
27620,Shuji,Kandlur,Senior Engineer,9999-01-01,1997-03-02,1990-03-02
27686,Manu,Rosiles,Senior Staff,9999-01-01,1998-03-03,1988-03-07
27699,Falguni,Pezzoli,Engineer,9999-01-01,1996-12-23,1995-12-10
27767,Tooru,Veldwijk,Senior Staff,9999-01-01,2000-11-21,1993-11-21
28193,Xinglin,Mitsuhashi,Senior Engineer,9999-01-01,1997-12-14,1988-12-14
28974,Chenxi,Sundgren,Senior Engineer,9999-01-01,1986-09-02,1986-06-22
28988,Tua,Giveon,Technique Leader,9999-01-01,1998-09-09,1998-09-09
29130,Xumin,Thorensen,Staff,9999-01-01,1998-04-26,1991-09-28
29265,Gilbert,Calkin,Senior Staff,9999-01-01,1994-03-21,1988-03-21
29380,Satoru,Vidal,Assistant Engineer,9999-01-01,1998-05-02,1998-03-13
29418,Valery,Mersereau,Assistant Engineer,9999-01-01,1998-07-01,1987-06-24
29679,Kolar,Steenbeek,Senior Engineer,9999-01-01,1986-10-18,1986-10-18
29782,Jouko,Hellwagner,Senior Engineer,9999-01-01,1994-12-21,1994-12-21
29954,Pranay,Giarratana,Senior Engineer,9999-01-01,1992-09-29,1992-09-29
30007,Kousuke,Vecchio,Senior Engineer,9999-01-01,1999-02-23,1989-12-04
30035,Tetsushi,Conta,Senior Staff,9999-01-01,1995-07-04,1995-07-04
30154,Mayuko,Skafidas,Technique Leader,9999-01-01,1999-04-19,1988-04-06
30182,Leon,Potthoff,Senior Engineer,9999-01-01,1993-12-08,1985-12-08
30465,Randi,Avouris,Senior Engineer,9999-01-01,1991-07-16,1986-07-16
30484,Sailaja,Chvatal,Staff,9999-01-01,1999-05-18,1993-08-19
30695,Gudjon,Majewski,Senior Engineer,9999-01-01,1999-10-26,1999-10-26
30938,Yakkov,Samarati,Senior Staff,9999-01-01,2000-05-22,1988-06-15
31147,Divine,Sidhu,Senior Staff,9999-01-01,1989-07-05,1989-07-05
31188,Leandro,Gist,Technique Leader,9999-01-01,1993-02-03,1993-02-03
31207,Abdelwaheb,Dulin,Senior Engineer,9999-01-01,1993-08-05,1988-04-12
31341,Oksana,Zultner,Senior Staff,9999-01-01,1997-03-22,1991-03-23
31514,Harngdar,Schapire,Senior Engineer,9999-01-01,2001-11-09,1996-11-09
31568,Mark,Lalonde,Staff,9999-01-01,1996-11-24,1985-12-24
31909,Murthy,Peek,Engineer,9999-01-01,1994-07-19,1994-07-19
32347,Terresa,Peres,Senior Staff,9999-01-01,1997-09-15,1987-01-25
32552,Atreye,Stanger,Engineer,9999-01-01,1999-09-10,1993-05-05
32649,Ingmar,Nannarelli,Senior Staff,9999-01-01,1988-06-10,1988-06-10
32714,Radoslaw,Maliniak,Staff,9999-01-01,1997-11-17,1988-01-13
32844,Tadahiko,Melton,Engineer,9999-01-01,1995-01-07,1995-01-07
33025,Jessie,Thorelli,Senior Staff,9999-01-01,1999-12-16,1992-05-27
33215,Steen,Fasbender,Technique Leader,9999-01-01,1993-02-14,1990-06-14
33722,Anwar,Collette,Senior Engineer,9999-01-01,1994-03-22,1986-05-01
34077,Angel,Sichman,Senior Staff,9999-01-01,1997-11-16,1987-06-26
34261,Kyoichi,Callaway,Senior Staff,9999-01-01,1996-12-29,1990-12-30
34446,Chinhyun,Bauknecht,Senior Engineer,9999-01-01,1986-12-19,1985-10-15
34452,Naftaly,Foong,Senior Engineer,9999-01-01,2000-05-09,1987-03-04
34505,Felicidad,Kumaresan,Senior Staff,9999-01-01,2001-09-06,1994-01-06
34533,Erzsebet,Shigei,Senior Engineer,9999-01-01,1991-01-21,1987-12-21
34780,Moni,Kohling,Staff,9999-01-01,1994-07-21,1994-07-21
34788,Ennio,Babu,Senior Engineer,9999-01-01,1994-08-31,1993-12-07
34936,Bokyung,Stamatiou,Technique Leader,9999-01-01,1991-02-12,1991-02-12
35044,Jiang,Waschkowski,Senior Engineer,9999-01-01,1997-05-27,1988-04-03
35087,Leif,Ashish,Senior Staff,9999-01-01,2001-10-14,1993-10-02
35441,Chandrasekaran,Peek,Senior Engineer,9999-01-01,1993-02-06,1988-02-07
35642,Ashish,Talmon,Senior Engineer,9999-01-01,2002-06-13,1988-06-11
35793,Oscar,Kusalik,Senior Staff,9999-01-01,1996-05-10,1991-05-11
35798,Ulf,Oberman,Senior Engineer,9999-01-01,1997-03-15,1987-06-28
36521,Serif,Gladwell,Senior Staff,9999-01-01,1993-03-05,1987-03-06
36626,Fen,Genin,Senior Staff,9999-01-01,1986-05-09,1986-05-09
36733,Uma,Reinhard,Staff,9999-01-01,1997-11-01,1993-01-22
36844,Hailing,Levergood,Staff,9999-01-01,2000-01-12,1999-07-21
36982,Kotesh,Rajala,Senior Engineer,9999-01-01,2000-06-23,1985-06-03
37070,Jeong,Undy,Senior Staff,9999-01-01,1993-02-13,1985-02-13
37945,Suzette,Butterworth,Senior Engineer,9999-01-01,1994-02-19,1987-11-21
38043,Michaela,Randi,Senior Engineer,9999-01-01,1994-11-23,1985-11-23
38103,Masasuke,Babu,Senior Engineer,9999-01-01,1993-03-31,1988-03-31
38168,Fumiko,Deverell,Senior Staff,9999-01-01,1996-08-14,1987-08-15
38550,JoAnne,Baez,Senior Engineer,9999-01-01,1987-02-16,1987-02-16
38593,Huei,Orsini,Senior Engineer,9999-01-01,1995-06-04,1986-06-04
38947,Shuichi,Ruemmler,Senior Staff,9999-01-01,1998-03-08,1991-03-08
39000,Martijn,Vendrig,Senior Staff,9999-01-01,2002-03-03,1990-05-12
39036,Changho,Cappelli,Staff,9999-01-01,1996-05-04,1995-08-22
39301,Rimon,Kawashima,Senior Staff,9999-01-01,1998-02-05,1992-02-06
39341,Mahmut,Lampe,Senior Engineer,9999-01-01,1994-05-11,1985-05-11
39952,Otmar,Sudbeck,Staff,9999-01-01,1998-07-22,1988-04-20
40269,Toshiki,Ghazalie,Senior Staff,9999-01-01,2000-12-04,1986-07-20
40283,Sudhanshu,Boissier,Senior Engineer,9999-01-01,1993-05-11,1985-05-11
40301,Spyrose,Felder,Senior Engineer,9999-01-01,1996-06-16,1988-06-22
40536,Harngdar,Bernardinello,Senior Engineer,9999-01-01,1996-02-29,1985-12-04
40765,Michaela,Ramsak,Senior Staff,9999-01-01,2001-12-21,1991-01-19
40773,Shimshon,Aingworth,Senior Staff,9999-01-01,1991-04-13,1986-04-13
40983,Marla,Cherinka,Technique Leader,9999-01-01,1986-12-01,1986-12-01
41114,Petter,Thummel,Technique Leader,9999-01-01,1995-12-24,1986-09-16
41137,Bikash,Buchter,Senior Staff,9999-01-01,1992-11-22,1987-11-23
41357,Willard,Vernadat,Engineer,9999-01-01,1997-03-04,1997-03-04
41518,Keung,Schapiro,Senior Engineer,9999-01-01,1998-04-19,1998-03-17
41520,Xiong,Uhrik,Senior Engineer,9999-01-01,1988-03-21,1988-03-21
