first_name,last_name,title,from_date,emp_no
Georgi,Facello,Senior Engineer,1986-06-26,10001
Chirstian,Koblick,Senior Engineer,1995-12-01,10004
Sumant,Peac,Senior Engineer,1995-02-18,10009
Kazuhide,Peha,Senior Engineer,1995-04-03,10018
Alain,Chappelet,Senior Engineer,1996-09-05,10035
Sanjiv,Zschoche,Senior Staff,1994-11-13,10053
Berhard,McFarlin,Senior Staff,1988-04-25,10058
Kwee,Schusler,Senior Engineer,1998-02-25,10066
Claudi,Stavenow,Senior Engineer,1996-03-03,10067
Reuven,Garigliano,Technique Leader,1985-10-14,10070
Hironoby,Sidou,Senior Engineer,1995-05-21,10072
Erez,Ritzmann,Senior Engineer,1996-07-15,10076
Jungsoon,Syrzycki,Senior Staff,1993-09-02,10088
Hironobu,Haraldson,Senior Staff,1994-09-21,10100
Akemi,Birch,Engineer,1998-01-12,10103
Lunjin,Giveon,Staff,1999-03-20,10108
Dayanand,Czap,Senior Engineer,1994-02-27,10116
Kayoko,Valtorta,Senior Staff,1991-09-08,10126
Armond,Peir,Technique Leader,1996-01-16,10129
Nishit,Casperson,Senior Engineer,1988-06-21,10130
Diederik,Siprelle,Senior Engineer,1994-12-12,10134
Perry,Shimshoni,Senior Engineer,2001-03-03,10138
Xiadong,Perry,Staff,1994-01-28,10149
Zhenbing,Perng,Senior Engineer,1995-11-16,10150
Jaques,Munro,Engineer,1986-01-27,10152
Heekeun,Majewski,Assistant Engineer,2000-01-08,10153
Nigel,Aloisi,Senior Engineer,1997-12-10,10157
Hairong,Mellouli,Engineer,1991-06-09,10161
Shigehito,Kropatsch,Staff,1996-12-25,10186
Pranav,Furedi,Senior Engineer,1993-08-31,10198
Xiaobin,Duclos,Senior Staff,1991-11-23,10215
Yongmin,Roison,Technique Leader,1986-05-12,10217
Leon,Trogemann,Senior Engineer,1996-01-09,10224
Ulises,Takanami,Engineer,1996-02-20,10229
Lein,Vendrig,Senior Staff,2000-04-28,10233
Basil,Ishibashi,Senior Engineer,1997-05-16,10258
Yishai,Cannane,Staff,1997-10-23,10272
Hercules,Benzmuller,Engineer,2001-05-02,10282
Kauko,Birjandi,Senior Engineer,1995-05-26,10283
Saddek,Gopalakrishnan,Staff,1994-12-24,10286
Faiza,Baer,Senior Staff,1994-07-22,10302
Hirochika,Piancastelli,Engineer,1988-10-31,10305
Masali,Czap,Staff,1998-09-02,10326
Roded,Facello,Engineer,1987-09-18,10327
Djelloul,Laventhal,Senior Staff,1993-03-30,10340
Pradeep,Kaminger,Staff,1998-02-20,10347
Satyanarayana,Cochrane,Staff,1996-01-26,10355
Vasilis,Standera,Senior Staff,1995-06-26,10356
Toshiki,Muniz,Assistant Engineer,1985-09-11,10363
Nakhoon,Dengi,Senior Engineer,1985-11-14,10364
Anneli,Frijda,Technique Leader,1985-07-30,10372
Parto,Wrigley,Senior Staff,1999-01-07,10387
Takahiro,Deverell,Engineer,1998-08-10,10395
Sibyl,Rahier,Senior Engineer,1986-01-11,10396
Volkmar,Ebeling,Technique Leader,1987-01-02,10402
Prodip,Rosti,Senior Engineer,1996-08-28,10404
Arunas,Luce,Technique Leader,1985-07-06,10426
Martien,Improta,Senior Engineer,1988-09-23,10429
Hisao,Tiemann,Senior Staff,1996-08-12,10432
Volkmar,Unno,Senior Staff,1999-02-12,10442
Bodh,Ranta,Senior Engineer,1998-03-12,10451
Tsvetan,Matzel,Senior Staff,1993-04-02,10453
Ung,Zaiane,Staff,1994-02-17,10463
Jiakeng,Himler,Staff,1997-08-22,10466
Amstein,Kossowski,Senior Engineer,1996-10-07,10486
Yakkov,Servieres,Senior Engineer,2000-12-17,10494
Xiong,Varker,Staff,1999-10-19,10504
Udi,Gihr,Senior Staff,1998-11-28,10512
Yonghoan,Alencar,Senior Staff,2000-12-05,10519
Marke,Cesareni,Senior Staff,1995-12-12,10522
